user_id,155,278,550,680,12477,77338,92321,157336,299534,299536
11,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
14,0.0,0.0,0.0,0.0,0.0,8.0,9.0,9.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0
32,0.0,8.0,9.0,8.0,0.0,0.0,0.0,0.0,8.0,9.0
36,0.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,8.0,0.0
55,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
60,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,9.0,8.0,8.0,0.0,0.0,0.0,8.0,9.0
88,9.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
