user_id,media_id,rating,title
1,27205,8,Inception
1,157336,8,Interstellar
1,155,8,The Dark Knight
1,299536,8,Avengers: Infinity War
1,550,8,Fight Club
1,680,8,Pulp Fiction
1,13,9,Forrest Gump
1,278,9,The Shawshank Redemption
1,299534,8,Avengers: Endgame
1,120,8,The Lord of the Rings: The Fellowship of the Ring
2,27205,9,Inception
2,157336,8,Interstellar
2,155,8,The Dark Knight
2,299536,9,Avengers: Infinity War
2,550,8,Fight Club
2,680,8,Pulp Fiction
2,13,8,Forrest Gump
2,278,9,The Shawshank Redemption
2,299534,8,Avengers: Endgame
2,120,9,The Lord of the Rings: The Fellowship of the Ring
3,27205,9,Inception
3,157336,8,Interstellar
3,155,8,The Dark Knight
3,299536,9,Avengers: Infinity War
3,550,9,Fight Club
3,680,8,Pulp Fiction
3,13,8,Forrest Gump
3,278,10,The Shawshank Redemption
3,299534,8,Avengers: Endgame
3,120,8,The Lord of the Rings: The Fellowship of the Ring
4,27205,8,Inception
4,157336,8,Interstellar
4,155,8,The Dark Knight
4,299536,9,Avengers: Infinity War
4,550,9,Fight Club
4,680,8,Pulp Fiction
4,13,9,Forrest Gump
4,278,9,The Shawshank Redemption
4,299534,9,Avengers: Endgame
4,120,9,The Lord of the Rings: The Fellowship of the Ring
5,27205,8,Inception
5,157336,9,Interstellar
5,155,10,The Dark Knight
5,299536,9,Avengers: Infinity War
5,550,8,Fight Club
5,680,9,Pulp Fiction
5,13,9,Forrest Gump
5,278,8,The Shawshank Redemption
5,299534,8,Avengers: Endgame
5,120,8,The Lord of the Rings: The Fellowship of the Ring
6,27205,9,Inception
6,157336,8,Interstellar
6,155,9,The Dark Knight
6,299536,8,Avengers: Infinity War
6,550,8,Fight Club
6,680,8,Pulp Fiction
6,13,9,Forrest Gump
6,278,9,The Shawshank Redemption
6,299534,8,Avengers: Endgame
6,120,8,The Lord of the Rings: The Fellowship of the Ring
7,27205,8,Inception
7,157336,7,Interstellar
7,155,9,The Dark Knight
7,299536,8,Avengers: Infinity War
7,550,8,Fight Club
7,680,9,Pulp Fiction
7,13,9,Forrest Gump
7,278,9,The Shawshank Redemption
7,299534,8,Avengers: Endgame
7,120,9,The Lord of the Rings: The Fellowship of the Ring
8,27205,8,Inception
8,157336,7,Interstellar
8,155,9,The Dark Knight
8,299536,8,Avengers: Infinity War
8,550,9,Fight Club
8,680,9,Pulp Fiction
8,13,8,Forrest Gump
8,278,9,The Shawshank Redemption
8,299534,8,Avengers: Endgame
8,120,9,The Lord of the Rings: The Fellowship of the Ring
9,27205,9,Inception
9,157336,8,Interstellar
9,155,8,The Dark Knight
9,299536,8,Avengers: Infinity War
9,550,9,Fight Club
9,680,8,Pulp Fiction
9,13,8,Forrest Gump
9,278,8,The Shawshank Redemption
9,299534,8,Avengers: Endgame
9,120,9,The Lord of the Rings: The Fellowship of the Ring
10,27205,8,Inception
10,157336,9,Interstellar
10,155,8,The Dark Knight
10,299536,8,Avengers: Infinity War
10,550,8,Fight Club
10,680,8,Pulp Fiction
10,13,8,Forrest Gump
10,278,9,The Shawshank Redemption
10,299534,9,Avengers: Endgame
10,120,7,The Lord of the Rings: The Fellowship of the Ring
11,255709,8,Hope
11,550,8,Fight Club
11,1891,8,The Empire Strikes Back
11,447362,9,Life in a Year
11,299536,9,Avengers: Infinity War
11,424,9,Schindler's List
11,335,9,Once Upon a Time in the West
11,914,8,The Great Dictator
11,28,9,Apocalypse Now
11,378064,9,A Silent Voice: The Movie
11,19404,8,Dilwale Dulhania Le Jayenge
11,4935,9,Howl's Moving Castle
11,497,8,The Green Mile
11,274,8,The Silence of the Lambs
11,12493,7,High and Low
11,1585,9,It's a Wonderful Life
11,8587,8,The Lion King
11,527641,8,Five Feet Apart
11,128,8,Princess Mononoke
11,18491,8,Neon Genesis Evangelion: The End of Evangelion
12,110420,8,Wolf Children
12,25237,9,Come and See
12,13,8,Forrest Gump
12,122,8,The Lord of the Rings: The Return of the King
12,299534,8,Avengers: Endgame
12,19404,9,Dilwale Dulhania Le Jayenge
12,3782,8,Ikiru
12,508965,9,Klaus
12,1184918,8,The Wild Robot
12,105,8,Back to the Future
12,527641,8,Five Feet Apart
12,975,9,Paths of Glory
13,4935,9,Howl's Moving Castle
13,1891,8,The Empire Strikes Back
13,25237,8,Come and See
13,599,9,Sunset Boulevard
13,18491,8,Neon Genesis Evangelion: The End of Evangelion
13,424,8,Schindler's List
13,299534,7,Avengers: Endgame
13,447362,8,Life in a Year
13,490132,8,Green Book
13,510,9,One Flew Over the Cuckoo's Nest
13,429,9,"The Good, the Bad and the Ugly"
13,637,8,Life Is Beautiful
13,157336,9,Interstellar
13,497,9,The Green Mile
13,27205,8,Inception
14,10494,8,Perfect Blue
14,3082,8,Modern Times
14,429,9,"The Good, the Bad and the Ugly"
14,311,9,Once Upon a Time in America
14,10376,8,The Legend of 1900
14,157336,9,Interstellar
14,3782,9,Ikiru
14,77338,8,The Intouchables
14,630566,9,Clouds
14,238,9,The Godfather
14,372058,9,Your Name.
14,807,8,Se7en
14,27205,9,Inception
14,572154,8,Rascal Does Not Dream of a Dreaming Girl
14,696374,9,Gabriel's Inferno
14,346,9,Seven Samurai
14,92321,9,Hotarubi no Mori e
14,539,8,Psycho
14,389,9,12 Angry Men
14,637920,8,Miracle in Cell No. 7
15,299536,9,Avengers: Infinity War
15,508965,9,Klaus
15,238,9,The Godfather
15,10376,9,The Legend of 1900
15,27205,8,Inception
15,550,8,Fight Club
15,92321,9,Hotarubi no Mori e
15,807,9,Se7en
15,901,9,City Lights
15,1585,9,It's a Wonderful Life
15,129,8,Spirited Away
15,12477,8,Grave of the Fireflies
15,122,8,The Lord of the Rings: The Return of the King
15,510,8,One Flew Over the Cuckoo's Nest
15,761053,9,Gabriel's Inferno: Part III
15,569094,8,Spider-Man: Across the Spider-Verse
15,389,9,12 Angry Men
16,299536,9,Avengers: Infinity War
16,429,8,"The Good, the Bad and the Ugly"
16,12493,9,High and Low
16,680,9,Pulp Fiction
16,121,8,The Lord of the Rings: The Two Towers
16,110420,9,Wolf Children
16,378064,8,A Silent Voice: The Movie
16,4935,8,Howl's Moving Castle
16,550,9,Fight Club
16,28,9,Apocalypse Now
16,311,8,Once Upon a Time in America
16,598,9,City of God
16,335,8,Once Upon a Time in the West
16,496243,9,Parasite
16,670,9,Oldboy
16,92321,8,Hotarubi no Mori e
17,447362,9,Life in a Year
17,567,9,Rear Window
17,299536,7,Avengers: Infinity War
17,299534,8,Avengers: Endgame
17,335,7,Once Upon a Time in the West
17,569094,8,Spider-Man: Across the Spider-Verse
17,92321,8,Hotarubi no Mori e
17,389,9,12 Angry Men
17,283566,8,Evangelion: 3.0+1.0 Thrice Upon a Time
17,527641,8,Five Feet Apart
17,13,8,Forrest Gump
17,539,9,Psycho
17,424,8,Schindler's List
17,510,9,One Flew Over the Cuckoo's Nest
17,274,8,The Silence of the Lambs
17,12477,9,Grave of the Fireflies
17,73,8,American History X
17,550,8,Fight Club
17,1891,9,The Empire Strikes Back
18,769,8,GoodFellas
18,3782,9,Ikiru
18,240,8,The Godfather Part II
18,497,8,The Green Mile
18,128,8,Princess Mononoke
18,724089,8,Gabriel's Inferno: Part II
18,40096,9,A Dog's Will
18,105,8,Back to the Future
18,539,9,Psycho
18,8587,8,The Lion King
18,13,9,Forrest Gump
18,510,8,One Flew Over the Cuckoo's Nest
18,110420,8,Wolf Children
18,12477,9,Grave of the Fireflies
18,92321,8,Hotarubi no Mori e
18,77338,9,The Intouchables
18,644479,8,Dedicated to my ex
19,569094,8,Spider-Man: Across the Spider-Verse
19,311,9,Once Upon a Time in America
19,299534,7,Avengers: Endgame
19,567,9,Rear Window
19,761053,8,Gabriel's Inferno: Part III
19,324857,9,Spider-Man: Into the Spider-Verse
19,598,8,City of God
19,155,9,The Dark Knight
19,975,8,Paths of Glory
19,27205,9,Inception
19,1585,8,It's a Wonderful Life
19,92321,8,Hotarubi no Mori e
19,25237,7,Come and See
19,73,8,American History X
19,389,9,12 Angry Men
19,670,9,Oldboy
19,238,9,The Godfather
19,122,9,The Lord of the Rings: The Return of the King
19,424,9,Schindler's List
20,1184918,9,The Wild Robot
20,1084736,9,The Count of Monte-Cristo
20,807,9,Se7en
20,724089,9,Gabriel's Inferno: Part II
20,389,9,12 Angry Men
20,278,8,The Shawshank Redemption
20,299536,7,Avengers: Infinity War
20,510,8,One Flew Over the Cuckoo's Nest
20,110420,8,Wolf Children
20,255709,8,Hope
21,508965,9,Klaus
21,372058,9,Your Name.
21,598,9,City of God
21,155,9,The Dark Knight
21,299534,9,Avengers: Endgame
21,120,9,The Lord of the Rings: The Fellowship of the Ring
21,14537,9,Harakiri
21,129,9,Spirited Away
21,265177,8,Mommy
21,1184918,8,The Wild Robot
21,19404,9,Dilwale Dulhania Le Jayenge
21,105,8,Back to the Future
21,240,8,The Godfather Part II
